station_slug,station_name,address,province
ben-xe-tuyen-quang,Bến xe Tuyên Quang,"Số 95 Chiến Thắng Sông Lô, Tân Quang, Tuyên Quang",Tuyên Quang
ben-xe-tan-chau,Bến xe Tân Châu,"Trần Phú, Long Châu, Tx. Tân Châu, An Giang, Vietnam, Tân Châu",An Giang
ben-xe-tan-ha,Bến xe Tân Hà,"Xã Tân Hà, Lâm Hà",Lâm Đồng
ben-xe-tan-ky,Bến xe Tân Kỳ,"QL15, Tân Kỳ (Bến xe Lạt), Tân Kỳ",Nghệ An
ben-xe-tan-phu,Bến xe Tân Phú,"Km125, Quốc Lộ 20 – Tân Phú, Tân Phú",Đồng Nai
ben-xe-tay-ninh,Bến xe Tây Ninh,"136 Trưng Nữ Vương, Tây Ninh",Tây Ninh
ben-xe-vinh-loc,Bến xe Vĩnh Lộc,"Thị trấn Vĩnh Lộc, Vĩnh Lộc",Thanh Hóa
ben-xe-vinh-thuan,Bến xe Vĩnh Thuận,"943 Quốc lộ 63, Vĩnh Thuận",Kiên Giang
ben-xe-vinh-tru,Bến xe Vĩnh Trụ,"Ngã Tư Gốc Gạo, Lý Nhân",Hà Nam
ben-xe-vinh-yen,Bến xe Vĩnh Yên,"Phường Khai Quang, Vĩnh Yên",Vĩnh Phúc
ben-xe-yen-bai,Bến xe Yên Bái,"Số 37 Nguyễn Thái Học, Yên Bái",Yên Bái
ben-xe-yen-cat,Bến xe Yên Cát,"Thị trấn Yên Cát, Như Xuân",Thanh Hóa
ben-xe-khach-binh-duong,Bến xe khách Bình Dương,"311 Đường 30/4, Phú Thọ, Thủ Dầu Một, Thủ Dầu Một",Bình Dương
ben-xe-khach-bac-giang,Bến xe khách Bắc Giang,"Số 486 Xương Giang, Ngô Quyền, Bắc Giang",Bắc Giang
ben-xe-khach-bac-kan,Bến xe khách Bắc Kạn,"Đường Kon Tum, Phùng Chí Kiên, Bắc Kạn",Bắc Kạn
ben-xe-khach-cai-rong,Bến xe khách Cái Rồng,"Khu phố 7, Thị Trấn Cái Rồng, Vân Đồn",Quảng Ninh
ben-xe-khach-hoa-binh,Bến xe khách Hòa Bình,"Trần Hưng Đạo, Hoà Bình",Hòa Bình
ben-xe-khach-ho-phong,Bến xe khách Hộ Phòng,"QL1A, Hộ Phòng, Giá Rai, Bạc Liêu, Vietnam, Giá Rai",Bạc Liêu
ben-xe-khach-kien-xuong,Bến xe khách Kiến Xương,"Thị trấn Kiến Xương, Kiến Xương",Thái Bình
ben-xe-khach-krong-no,Bến xe khách Krông Nô,"Tỉnh Lộ 684, Đăk Mâm, Krông Nô",Đắk Nông
ben-xe-khach-luc-yen,Bến xe khách Lục Yên,"Thị Trấn Yên Thế, Lục Yên",Yên Bái
ben-xe-khach-muong-la,Bến xe khách Mường La,"Thị trấn Ít Ong, Mường La",Sơn La
ben-xe-khach-nghia-lo,Bến xe khách Nghĩa Lộ,"Quốc lộ 32, Trung Tâm, Văn Chấn",Yên Bái
ben-xe-khach-nho-quan,Bến xe khách Nho Quan,"Tỉnh Lộ 477, thị trấn Nho Quan, Nho Quan",Ninh Bình
ben-xe-khach-ninh-giang,Bến xe khách Ninh Giang,"Quốc lộ 37, Đồng Tâm, Ninh Giang",Hải Dương
ben-xe-khach-phu-my,Bến xe khách Phù Mỹ,"Đường Quang Trung, Phù Mỹ",Bình Định
ben-xe-khach-quynh-nhai,Bến xe khách Quỳnh Nhai,"Mường Giàng, Quỳnh Nhai, Quỳnh Nhai",Sơn La
ben-xe-khach-thinh-long,Bến xe khách Thịnh Long,Hải Hậu,Nam Định
ben-xe-khach-tan-dong-hiep,Bến xe khách Tân Đông Hiệp,"DT743A, Tân Đông Hiệp, Dĩ An, Binh Duong, Vietnam, Dĩ An",Bình Dương
ben-xe-khach-xuan-loc,Bến xe khách Xuân Lộc,"Hùng Vương, Gia Ray, Xuân Lộc, Đồng Nai, Việt Nam, Xuân Lộc",Đồng Nai
ben-xe-khach-huyen-xuyen-moc,Bến xe khách huyện Xuyên Mộc,"QL55, Phước Thuận, Xuyên Mộc, Bà Rịa - Vũng Tàu, Vietnam, Xuyên Mộc",Bà Rịa-Vũng Tàu
ben-xe-khach-huyen-dak-nong,Bến xe khách huyện Đắk Nông,"Thị Trấn Gia Nghĩa, Gia Nghĩa",Đắk Nông
ben-xe-khach-thi-tran-diem-dien,Bến xe khách thị trấn Diêm Điền,"Thị trấn Diêm Điền, Thái Thụy",Thái Bình
ben-xe-lien-tinh-da-lat,Bến xe liên tỉnh Đà Lạt,"01 Tô Hiến Thành, Đà Lạt",Lâm Đồng
ben-xe-lien-tinh-dak-lak,Bến xe liên tỉnh Đắk Lắk,"Km4 - Đường Nguyễn Chí Thanh, Phường Tân An, Buôn Ma Thuột",Đắk Lắk
ben-xe-moi-chau-doc,Bến xe mới Châu Đốc,"QL91, Vĩnh Mỹ, Châu Đốc, Châu Phú B, Vietnam, Châu Đốc",An Giang
ben-xe-phia-nam-hue,Bến xe phía Nam Huế,"97 An Dương Vương, Huế",Thừa Thiên Huế
ben-xe-phia-bac-hue,Bến xe phía bắc Huế,"Số 132 Lý Thái Tổ, An Hòa, Huế",Thừa Thiên Huế
ben-xe-phia-bac-lang-son,Bến xe phía bắc Lạng Sơn,"Khối 1, T.T Cao Lộc, Cao Lộc",Lạng Sơn
ben-xe-phia-bac-thanh-hoa,Bến xe phía bắc Thanh Hóa,"Số 418 Bà Triệu, Đông Thọ, Thanh Hóa",Thanh Hóa
ben-xe-phia-nam-buon-me-thuot,Bến xe phía nam Buôn Mê Thuột,"Võ Văn Kiệt, Buôn Ma Thuột",Đắk Lắk
ben-xe-phia-nam-thanh-hoa,Bến xe phía nam Thanh Hóa,"690 Quang Trung, P. Đông Vệ, Thanh Hóa",Thanh Hóa
ben-xe-sapa,Bến xe sapa,"Quốc lộ 4D, Sapa, Sa Pa",Lào Cai
ben-xe-thi-xa-an-khe,Bến xe thị xã An Khê,"523 Quang Trung, An Khê",Gia Lai
ben-xe-thi-xa-la-gi,Bến xe thị xã La Gi,"206 Thống Nhất, P. Tân Thiện, La Gi",Bình Thuận
ben-xe-tau-nam-can,Bến xe tàu Năm Căn,"Ấp Cái Nai, đường Nguyễn Tất Thành, QL 1A, Thị trấn Năm Căn, Năm Căn",Cà Mau
ben-xe-o-mon,Bến xe Ô Môn,"Quốc lộ 91, Phường Châu Văn Liêm, Ô Môn, Thành phố Cần Thơ",Cần Thơ
ben-xe-dien-bien,Bến xe Điện Biên,"Phường Mường Thanh, Điện Biên Phủ",Điện Biên
ben-xe-do-luong,Bến xe Đô Lương,"Xã Yên Sơn, Đô Lương",Nghệ An
ben-xe-dong-binh,Bến xe Đông Bình,Nghĩa Hưng,Nam Định
ben-xe-dong-hung,Bến xe Đông Hưng,Đông Hưng,Thái Bình
ben-xe-da-teh,Bến xe Đạ Tẻh,"Khu phố 3, thị trấn Đạ tẻh, Đạ Tẻh",Lâm Đồng
ben-xe-dak-mil,Bến xe Đắk Mil,"Thôn Minh Đoài, Xã Đức Thịnh, Đăk Mil",Đắk Nông
ben-xe-dong-hoi,Bến xe Đồng Hới,"Nguyễn Hữu Cảnh, Phường Hải Thịnh, Đồng Hới",Quảng Bình
ben-xe-duc-linh,Bến xe Đức Linh,"Đức Linh, Đức Linh",Bình Thuận
