station_slug,station_name,address,province,ward_id,matched_ward,matched_district
ben-xe-vung-tau,Bến xe Vũng Tàu,"Nam Kỳ Khởi Nghĩa, Thắng Tam, Vũng Tàu",Bà Rịa-Vũng Tàu,9639,Phường Nguyễn An Ninh,Thành phố Vũng Tàu
ben-xe-duc-long-gia-lai,Bến xe Đức Long Gia Lai,"43 Lý Nam Đế, phường Trà Bá, Pleiku",Gia Lai,8576,Phường Trà Bá,Thành phố Pleiku
ben-xe-91b-can-tho,Bến xe 91B Cần Thơ,"Lộ 91B Nguyễn Văn Linh, Ninh Kiều, Thành phố Cần Thơ",Cần Thơ,11124,Phường Cái Khế,Quận Ninh Kiều
ben-xe-an-phu,Bến xe An Phú,"9 Liên Huyện, An Phú, Thuận An, Bình Dương, Vietnam, Thuận An",Bình Dương,9453,Phường Lái Thiêu,Thành phố Thuận An
ben-xe-an-suong,Bến xe An Sương,"Quốc Lộ 22, Bà Điểm, Hóc Môn, Hồ Chí Minh, Vietnam, Hóc Môn, Thành phố Hồ Chí Minh",Hồ Chí Minh,9943,Xã Tân Thới Nhì,Huyện Hóc Môn
ben-xe-ba-tri,Bến xe Ba Tri,"Tỉnh Lộ 887, An Bình Tây, Ba Tri, Bến Tre, Vietnam, Ba Tri",Bến Tre,10340,Xã Mỹ Thạnh An,Thành phố Bến Tre
ben-xe-ba-don,Bến xe Ba Đồn,"69 Hùng Vương, Quảng Trạch",Quảng Bình,7098,Xã Liên Trường,Huyện Quảng Trạch
ben-xe-bien-hoa,Bến xe Biên Hòa,"04 Nguyễn Ái Quốc, Quang Vinh, tp. Biên Hòa, Đồng Nai, Vietnam, Biên Hòa",Đồng Nai,9480,Phường Tam Hiệp,Thành phố Biên Hòa
ben-xe-buon-ma-thuot,Bến xe Buôn Ma Thuột,"72 Ngô Gia Tự, Buôn Ma Thuột",Đắk Lắk,8796,Xã Cư ÊBur,Thành phố Buôn Ma Thuột
ben-xe-bai-chay,Bến xe Bãi Cháy,"Số 17 Đường 279, Hạ Long",Quảng Ninh,3900,Phường Hà Khánh,Thành phố Hạ Long
ben-xe-binh-chau,Bến xe Bình Châu,"Âp Bình An,Xa Bình Châu ,Xuyên Mộc Vũ ng Tàu, Bình Châu, Bà Rịa, Bà Rịa - Vũng Tàu, Vietnam, Xuyên Mộc",Bà Rịa-Vũng Tàu,9686,Xã Bình Châu,Huyện Xuyên Mộc
ben-xe-bac-ruong,Bến xe Bắc Ruộng,"Đường 717 - Bắc Ruộng, Tánh Linh",Bình Thuận,8437,Xã Đức Thuận,Huyện Tánh Linh
ben-xe-ben-tre,Bến xe Bến Tre,"QL60, Sơn Đông, Tp. Bến Tre, Bến Tre, Vietnam, Bến Tre",Bến Tre,10331,Phường Phú Khương,Thành phố Bến Tre
ben-xe-ben-trai,Bến xe Bến Trại,"Tỉnh lộ 392B, thôn An Phong, xã Tiền Phong, Thanh Miện",Hải Dương,4919,Xã Chi Lăng Nam,Huyện Thanh Miện
ben-xe-bong-son,Bến xe Bồng Sơn,"Bồng Sơn 1A, TT. Bồng Sơn, Hoài Nhơn, Bình Định, Vietnam, Hoài Nhơn",Bình Định,7917,Xã Hoài Sơn,Thị xã Hoài Nhơn
ben-xe-chin-nghia,Bến xe Chín Nghĩa,"Đường Đinh Tiên Hoàng, phường Nghĩa Chánh, Quảng Ngãi",Quảng Ngãi,7721,Phường Nghĩa Chánh,Thành phố Quảng Ngãi
ben-xe-cho-luc,Bến xe Chợ Lục,"xã Thái Xuyên, Thái Thụy",Thái Bình,5377,Xã Thái Xuyên,Huyện Thái Thụy
ben-xe-ca-mau,Bến xe Cà Mau,"Quốc Lộ 1A, Lý Thường Kiệt, Khóm 5, Phường 6, Cà Mau",Cà Mau,11456,Phường 6,Thành phố Cà Mau
ben-xe-can-tho,Bến xe Cần Thơ,"Ninh Kiều, Thành phố Cần Thơ",Ninh Kiều,11129,Phường Hưng Lợi,Quận Ninh Kiều
ben-xe-cau-rao,Bến xe Cầu Rào,"Số 1 Thiên Lôi, Ngô Quyền, Thành phố Hải Phòng",Hải Phòng,4937,Phường Đông Khê,Quận Ngô Quyền
ben-xe-cua-ong,Bến xe Cửa Ông,"Số 48 Lý Thường Kiệt, Cửa Ông, Cẩm Phả",Quảng Ninh,3954,Phường Quang Hanh,Thành phố Cẩm Phả
ben-xe-duyen-hai,Bến xe Duyên Hải,"Khóm 2 Quốc Lộ 53 - Thị Trấn Duyên Hải, Thị xã Duyên Hải",Trà Vinh,10574,Xã Long Vĩnh,Huyện Duyên Hải
ben-xe-ea-sup,Bến xe Ea Súp,"Chu Văn An, tt. Ea Súp, Ea Súp, Đắk Lắk, Vietnam, Ea Súp",Đắk Lắk,8832,Xã Ea Lê,Huyện Ea Súp
ben-xe-eakar,Bến xe Eakar,"6 Nguyễn Tất Thành, Ea Kar, Đắk Lắk, Vietnam, Ea Kar",Đắk Lắk,8886,Xã Ea Đar,Huyện Ea Kar
ben-xe-gia-lam,Bến xe Gia Lâm,"Số 9 Ngô Gia Khảm, Long Biên, Thành phố Hà Nội",Hà Nội,1550,Phường Phúc Đồng,Quận Long Biên
ben-xe-gia-nghia,Bến xe Gia Nghĩa,"Đường Mạc Thị Bưởi, Phường Nghĩa Thành, Gia Nghĩa",Đắk Nông,8965,Phường Nghĩa Thành,Thành phố Gia Nghĩa
ben-xe-giao-thuy,Bến xe Giao Thủy,"ĐT489, TT. Ngô Đồng, Nam Định, Giao Thủy",Nam Định,5716,Xã Bạch Long,Huyện Giao Thủy
ben-xe-go-cong,Bến xe Gò Công,"Đường Đồng Khởi - Phường 4, Gò Công",Tiền Giang,10189,Xã Bình Xuân,Thành phố Gò Công
ben-xe-ha-giang,Bến xe Hà Giang,"Bến xe Hà Giang, Hà Giang",Hà Giang,2033,Xã Phương Thiện,Thành phố Hà Giang
ben-xe-ha-tien,Bến xe Hà Tiên,"QL 80, Kp 5, P.Bình San, Hà Tiên",Kiên Giang,10994,Phường Bình San,Thành phố Hà Tiên
